"","GDP.PPP.","Indus Employment","Agri Employment","GHG Emission","Renew Energy","Fossile Fuel","Energy.Use.PC","CO2.Emissions.PC","Population.Total","Protected Area","Paris_Agreement_Code","Polityxconst","UNmentions"
"117",265381625.719916,22.786683424762,10.7608477723333,1.37514060552,10.5224666777075,84.596012919064,4489.53385556579,10.7338942376622,20610.6666666667,0.24,2,6.78460362721842,47
"118",62530716488.1739,18.5000006357829,17.0333334604899,15845.9961875234,23.0559882339773,78.408666192974,1078.59138851894,2.6558342580118,3682082,5.18,2,6,5
"119",16333207842.8431,17.4370556503484,32.4387028519388,10881.0476703639,50.2666300863213,48.2799082346217,525.436752788335,0.708026489797287,7001186.33333333,0.66,2,6,22
"120",46382370007.2325,17.6666666666667,26.7999998728434,50438.8578692145,63.346105184824,33.3447782746227,777.420557415516,0.827498194143311,6294267.33333333,6.5,2,7,11
"121",308770080535.137,23.7999998728434,21.3159305329645,73236.9845556744,29.5094791354197,76.1703333655741,687.473788359124,1.81210275753479,29764101,19.37,2,7,13
"122",549486230118.433,15.0666666030884,32.8000005086263,163678.59673998,29.2084010228012,59.6564262236752,436.514079284364,0.923150637515769,94519152.3333333,2.44,1,6,9
"123",848019059781.496,30.7666670481364,12.3999999364217,421294.742949816,10.3863935613986,91.8493687228403,2620.43573245482,8.17405116069631,38056404.3333333,29.31,2,7,13
"124",282286240919.208,27.8333333333333,6.80000003178914,72061.1913197911,26.849579837264,75.299912628645,2148.81644873327,4.48138889321399,10548501.3333333,1.89,2,7,6
"125",249659534277.212,48.5169341835291,-8.25544424069513,100812.659308822,-43.1482402328297,127.656437594546,16993.6497995857,43.3474637336044,1895524.66666667,1.24,1,1,6
"126",354613145832.313,29.7000001271566,26.7666670481364,121962.446219015,22.2957582405082,76.3833302066661,1749.63881228496,4.06764444409755,20150811.3333333,22.09,1,7,5
"127",3435131742074.19,27.6666666666667,7.63333336512248,2728137.47595936,3.2718222580952,90.7828887615902,5019.91083764885,12.3038997358222,143003997.666667,8.75,1,2.44628049213805,1
"128",14823848057.3122,9.99728671473489,54.3324720194756,6619.22350362389,87.2671230446105,15.6842061508883,879.115764751212,0.0627886866111441,10555816,9.43,2,3,2
"129",1045647682.86076,16.1063784701439,22.970853570353,348.648944812556,22.5436524457596,72.1021102095281,617.52439953521,1.23180954170301,187454.666666667,0.23,2,7.56258407886819,58
"130",166243725621.843,25.6283217103951,7.66141698970115,7593.04645083998,18.4285433423921,77.2920954540211,3497.22241370634,7.67897067367938,30933.3333333333,0,1,5.5138582028805,12
"131",495948308.220052,17.9773027980118,25.3984284795377,190.558297877722,39.942691052766,59.6188733420715,428.703145006417,0.601406295094903,174670,0,2,5.67236817480038,18
"132",1349972867887.61,24.4383005967912,1.02711352810051,519838.99945722,0.00865171093905379,99.9965371892757,6527.63844235967,18.3711704752828,28791710.6666667,28.24,2,1,0
"133",29095747318.961,18.6846352826103,29.8809708161303,53800.9962731239,50.7012001019824,46.4505235707734,297.169739929685,0.599496535445728,13364634,14.48,2,5,4
"134",1967765157.42481,20.747337621581,9.51940043433363,882.73032323046,2.04098688910941,95.7405588549006,2499.66528831175,7.49618711834747,88504.6666666667,0.05,2,5.76841153166323,20
"135",8615190293.56019,16.4969951095764,35.6897738176855,11729.8478974976,68.204686327433,31.7766757848576,701.578350245592,0.149420540508718,5909322.33333333,3.77,2,6,3
"136",385496394616.69,23.0666669209798,-2.3664502861253,54351.9447126463,0.494730055724961,97.6673990064524,4993.91775690212,8.77766511601236,5190952.33333333,3.39,2,3,5
"137",57877462933.8381,32.1666653951009,6.96666669845581,21493.9619022264,18.3642359645935,66.0479040674857,3497.78666601322,7.39541739179379,2052861.66666667,53.95,1,7,9
"138",1038568707.01727,13.9565722294479,37.6387485773883,4535.95730163994,61.0889323037092,38.3429031446275,519.105802216694,0.366083531314916,537662.333333333,0.16,2,7,29
"139",45877673609.9456,14.4084635030878,40.7346782927644,21689.4647873717,78.367212428756,25.7750120561782,640.880898223649,0.0620703602640921,9807338,0.26,2,6,3
"140",631752991691.55,24.1333332061767,4.80000003178914,452879.364676414,16.9750540417931,87.2911615212164,2746.92057652364,9.18981122299667,51559388.3333333,10.24,2,7,7
"141",1512383397049.07,21.9000002543132,4.13333320617676,352244.233664091,14.9661447578361,75.8363694538899,2705.31010314535,5.75512454243803,46697549.6666667,10.18,1,7,9
"142",187629480157.054,24.8000005086263,32.2333335876465,29801.9652739355,60.7872665093263,46.4133076872654,517.060994803653,0.742134179844621,20270666.6666667,2.64,2,6,5
"143",146587766137.68,16.6546265337514,34.1120561271709,489781.071161636,63.1333048158633,31.1419719994402,363.134881559133,0.325490334428469,36915166,1.68,1,2,25
"144",7863281907.33883,21.0452121203067,22.154097991369,2596.14425572493,26.2947145681378,71.5378492133212,1506.02312277157,4.65340871900375,523371.666666667,8.58,1,5,13
"145",9292068755.56392,13.1221150661246,27.7124965097009,3428.79943195667,43.9830840622662,58.5905050484051,724.830770016514,0.904751494509957,1212433.33333333,4.02,2,2,10
"146",409050504069.384,19.9333330790202,1.79999995231628,68660.9424428831,47.4783725941843,33.2121980759825,5324.0182189656,5.3215353335992,9448904.33333333,13.03,2,7,14
"147",430694541295.29,21.0666662851969,3.06666660308838,54776.3823688077,21.7315205237922,50.9446319237003,3250.90671716023,4.7916382002953,7911389.33333333,9.93,1,7,5
"148",233329290401.547,28.2892538501612,12.037535342057,75107.0030493779,1.88184148797975,98.6177883329474,923.10203164618,2.64745652302282,20400175,0.67,0,3.90539513011834,3
"149",17322097686.2449,17.6349572190281,27.9301278508566,15125.866879957,60.1084600039408,36.4148111119262,284.739704017581,0.34131933520559,7755516.66666667,21.92,1,3,17
"150",100248938455.787,15.5472412931181,46.1189455189751,234754.102449836,89.2789568496228,11.8722998059401,455.051061622629,0.17454803550629,47139077.3333333,26.05,1,4,4
"151",933012152644.962,20.2999998728434,39.5999997456869,430983.939970076,22.6976510151222,80.1163608023566,1801.71049957242,4.40379089042366,66919704,12.49,1,3,10
"152",2184933977.45786,15.7291984542966,36.1662052337413,949.90462879372,51.3867492973137,46.8297866592385,725.149284429455,0.231562863227886,1111919.66666667,2.09,1,4.5367196360077,3
"153",8245636063.09005,17.1707363780739,33.8099550578884,22756.871263327,69.2267349515292,19.7209669847535,475.864298898051,0.365394698067906,6567537,19.75,1,3,8
"154",522652722.591098,23.8948298160684,20.5860590975155,155.195281063957,20.0258709620331,73.5501218057537,485.838084335226,1.27582823378086,104369.333333333,1.52,2,5.26466772204024,26
"155",39910029234.8915,27.7443582178744,-16.788053263968,59717.9570553641,0.34025618494035,99.9289862729664,14749.1742866548,35.0102482523991,1334821.33333333,2.63,1,7,21
"156",111143202223.388,33.0333340962728,16.5666669209798,38704.0391874196,13.5545301586307,88.0076966291872,948.249177181943,2.52198370498403,10666133.3333333,3.68,1,6,11
"157",1282448132783.72,26.8333333333333,22.4666665395101,434386.804585694,13.3267671166319,89.4140041377729,1514.67148866883,4.29610585118833,73558868.3333333,0.2,1,4,3
"158",57682508013.0202,20.6548941583922,14.1772940967865,89402.1537180601,21.2289719934567,77.0242156231379,4761.46799358575,12.0611979298404,5107202.66666667,3.15,2,1,13
"159",33466126.2385928,18.4821665367701,21.6529658428695,5.17519213949766,36.7954569582393,63.0800761612905,2119.03302830048,5.58919043950234,9843.66666666667,0.01,2,6.16285594527649,65
"160",55649222523.0615,15.9237568490372,40.4918864343332,80316.7544816279,73.2612895003827,29.9649422091645,705.315122624756,0.119375832407198,34270126.3333333,16,2,3,0
